player_id,player_name,bat_hand
666183,"Bishop, Hunter",L
666185,"Carlson, Dylan",S
666194,"Johnson, Cooper",R
666197,"Kessinger, Grae",R
666198,"Kieboom, Carter",R
666211,"Trammell, Taylor",L
666310,"Naylor, Bo",L
666397,"Julien, Edouard",L
666464,"Encarnacion, Jerar",R
666624,"Morel, Christopher",R
666632,"Perlaza, Yonathan",S
666695,"Guzmán, Jonathan",R
666703,"Rosario, Eguy",R
666783,"Díaz, Yusniel",R
666801,"Castro, Rodolfo",S
666906,"Alu, Jake",L
666915,"Dalbec, Bobby",R
666931,"Oliva, Jared",R
666969,"García, Adolis",R
666971,"Gurriel Jr., Lourdes",R
667240,"Matthews, Jason",R
667372,"Rodriguez, Julio E.",R
667428,"Koch, Grant",R
667442,"Hollis, Connor",R
667452,"Julks, Corey",R
667472,"Myers, Dane",R
667663,"Stovall, Hunter",R
667670,"Rooker, Brent",R
667690,"Stubbs, C.J.",R
667803,"Martinez Jr., Ernesto",L
668227,"Arozarena, Randy",R
668472,"Pratto, Nick",L
668663,"Barrera, Tres",R
668664,"Strumpf, Chase",R
668667,"Cabrera, Daniel",L
668670,"Rogers, Jake",R
668709,"Bleday, JJ",L
668715,"Steer, Spencer",R
668721,"Henry, Payton",R
668723,"Vilade, Ryan",R
668731,"Baddoo, Akil",L
668751,"Mitchell, Cal",L
668752,"Ellis, Duke",L
668756,"Ramirez, Ben",L
668785,"Martorano, Brandon",R
668787,"Ball, Bryce",L
668791,"Prato, Anthony",R
668800,"Knizner, Andrew",R
668804,"Reynolds, Bryan",S
668824,"Wyatt, Logan",L
668832,"McCann, Kyle",L
668833,"McCullough, Morgan",L
668842,"Berglund, Michael",L
668843,"Capel, Conner",L
668845,"Schunk, Aaron",R
668853,"Shenton, Austin",L
668860,"Emshoff, Kale",R
668876,"Humphreys, Zach",R
668885,"Martin, Austin",R
668901,"Vientos, Mark",R
668904,"Lewis, Royce",R
668929,"Campbell, Noah",L
668930,"Turang, Brice",L
668939,"Rutschman, Adley",S
668942,"Rojas, Josh",L
668952,"Kreidler, Ryan",R
668965,"Zamora, Freddy",R
668974,"Handley, Maverick",R
669002,"Scott, Connor",L
669003,"Mitchell, Garrett",L
669004,"Melendez, MJ",L
669016,"Marsh, Brandon",L
669023,"Downs, Jeter",R
669065,"Stowers, Kyle",L
669087,"Huff, Sam",R
669127,"Langeliers, Shea",R
669134,"Campusano, Luis",R
669137,"Alvarez, Armando",R
669194,"Nelson, Ryne",R
669200,"McCoy, Mason",R
669208,"Bliss, Ryan",R
669219,"Ward, Je'Von",L
669221,"Murphy, Sean",R
669222,"Senzel, Nick",R
669224,"Wells, Austin",L
669227,"Simmons, Kendall",R
669234,"Malloy, Justyn-Henry",R
669236,"Jackson, Jeremiah",R
669242,"Edman, Tommy",S
669256,"Solak, Nick",R
669257,"Smith, Will",R
669261,"Suwinski, Jack",L
669288,"Johnson, Daniel",L
669289,"Espinal, Santiago",R
669304,"Miranda, Jose",R
669309,"Perez, Joe",R
669326,"Teodosio, Bryce",R
669336,"Gray Jr., Joe",R
669352,"Thompson, Bubba",S
669357,"Gorman, Nolan",L
669360,"Cruz, Trei",S
669364,"Edwards, Xavier",S
669369,"Johnson, Bryce",S
669374,"Hiura, Keston",R
669384,"Delgado, Raynel",L
669386,"Hauver, Trevor",L
669392,"Taylor, Samad",R
669394,"Burger, Jake",R
669397,"Allen, Nick",R
669398,"Workman, Gage",L
669413,"Chavez, Frainyer",L
669439,"Swift, Drew",R
669442,"Soularie, Alerick",R
669450,"Hummel, Cooper",S
669471,"Mann, Devin",R
669477,"Schmitt, Casey",R
669649,"Duvall, Ty",L
